Visited,Date visited,Place name,Type,Agency,State(s),Notes,Official page
,,Harry S Truman,NHS,NPS,MO,,https://www.nps.gov/hstr/
,,Hawaii Volcanoes,NP,NPS,HI,,https://www.nps.gov/havo/
,,Herbert Hoover,NHS,NPS,IA,,https://www.nps.gov/heho/
,,Hohokam Pima,NM,NPS,AZ,,https://www.nps.gov/pima/
,,Home of Franklin D. Roosevelt,NHS,NPS,NY,,https://www.nps.gov/hofr/
,,Homestead National Monument of America,NM,NPS,NE,,https://www.nps.gov/home/
,,Honouliuli,NHS,NPS,HI,,https://www.nps.gov/hono/
,,Hopewell Culture,NHP,NPS,OH,,https://www.nps.gov/hocu/
,,Hopewell Furnace,NHS,NPS,PA,,https://www.nps.gov/hofu/
,,Horseshoe Bend,NMP,NPS,AL,,https://www.nps.gov/hobe/
,,Hot Springs,NP,NPS,AR,,https://www.nps.gov/hosp/
,,Hovenweep,NM,NPS,UT,,https://www.nps.gov/hove/
,,Hubbell Trading Post,NHS,NPS,AZ,,https://www.nps.gov/hutr/
,,Ice Age,NST,NPS,WI,,https://www.nps.gov/iatr/
,,Independence,NHP,NPS,PA,,https://www.nps.gov/inde/
,,Indiana Dunes,NP,NPS,IN,,https://www.nps.gov/indu/
,,Ironwood Forest,NM,BLM,AZ,,https://www.blm.gov/visit/ironwood
,,Isle Royale,NP,NPS,MI,,https://www.nps.gov/isro/
,,James A. Garfield,NHS,NPS,OH,,https://www.nps.gov/jaga/
,,Jean Lafitte,NHP&P,NPS,LA,,https://www.nps.gov/jela/
,,Jewel Cave,NM,NPS,SD,,https://www.nps.gov/jeca/
,,Jimmy Carter,NHS,NPS,GA,,https://www.nps.gov/jica/
,,"John D. Rockefeller, Jr. Memorial",PKWY,NPS,WY,,https://www.nps.gov/grte/planyourvisit/jodr.htm
,,John Day Fossil Beds,NM,NPS,OR,,https://www.nps.gov/joda/
,,John Fitzgerald Kennedy,NHS,NPS,MA,,https://www.nps.gov/jofi/
,,John Muir,NHS,NPS,CA,,https://www.nps.gov/jomu/
,,John Wesley Powell,NCA,BLM,UT,,https://www.blm.gov/documents/utah/public-room/map/john-wesley-powell-national-conservation-area
,,Johnstown Flood,NMEM,NPS,PA,,https://www.nps.gov/jofl/
,,Joshua Tree,NP,NPS,CA,,https://www.nps.gov/jotr/
,,Jurassic,NM,BLM,UT,,https://www.blm.gov/learn/interpretive-centers/cleveland-lloyd-dinosaur-quarry
,,Kalaupapa,NHP,NPS,HI,,https://www.nps.gov/kala/
,,Kaloko-Honokōhau,NHP,NPS,HI,,https://www.nps.gov/kaho/
,,Kasha-Katuwe Tent Rocks,NM,BLM,NM,,https://www.blm.gov/visit/kktr
,,Katahdin Woods and Waters,NM,NPS,ME,,https://nps.gov/kaww
,,Katmai,NP,NPS,AK,,https://www.nps.gov/katm/
